MINE CODE;MINE NAME;MINE OWNER;POSTAL ADDRESS;TELEPHONE & FAX NUMBER;MAGISTERIAL DISTRICT;PROVINCE;ENTITY & MINING TYPE;COMMODITY;FARM NAMES;;;
14119;VHEMBE DISTRICT - UITENPAS                                                    ; VHEMBE DISTRICT COLOURSTONE MINING CO-OP                                     ; PO BOX 1215 MUSINA   0900                                                                                                                                              ;(015) 534 3372       (015) 534 3372 ;MESSINA;LIMPOPO;MINE                                                    OPENCAST                                                                                                                                              ;SEMI PRECIOUS STONES                                                                                                                                                                                                                                                                                                                                                                                                                                              ;UITENPAS 2 MT REM EXT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
14540;ELITHENI COAL (PTY) LTD                                                       ; SNR PLC                                                                      ; PO BOX 211177 THE FIG TREE   6033                                                                                                                                      ;(041) 368 9650       (041) 368 9651 ;LADY FRERE;EASTERN CAPE;MINE                                                    OPENCAST                                                                                                                                              ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;MACUBENI GUBA HOEK AREA LOT 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;
15728;KARIBOO COLLIERY MR HOSHOZA RESOURCES VRYHEID (PTY) LTD                       ; HOSHOZA RESOURCES VRYHEID (PTY) LTD                                          ; PO BOX 11134 HATFIELD   0028                                                                                                                                           ;(012) 346 2999                      ;UTRECHT;KWA-ZULU NATAL;MINE                                                    SURFACE                                                                                                                                               ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;ZOETMELKSRIVIER 86 HT REM PTN 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               ;;;
14818;KIEPERSOL COLLIERY                                                            ; JINDAL MINING SA (PTY) LTD                                                   ; 12A THEO MOCKE STREET PIET RETIEF   2380                                                                                                                               ;(017) 492 0001       072 466 0742   ;PIET RETIEF;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;"GOEDEHOOP 169 HT 4; GROOTHOEK 171 HT; LANGGEWACHT 170 HT; ST HELENA 67 HT                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ";;;
13730;LEEUW MINING AND EXPL - VAALKRANTZ CO                                         ; KEATON ENERGY HOLDINGS LTD                                                   ; PRIVATE BAG X51 POSTNET SUITE 464 BRYANSTON  2012                                                                                                                      ;(011) 317 1700       (011) 463 4759 ;VRYHEID;KWA-ZULU NATAL;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;"RUSTPLAAS EXT 4; 5 & 6                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ";;;
15818;MAKUNYULA ANTHRACITE MINE                                                     ; MAIN STREET 800                                                              ; MAKUNYULA ANTHRACITE MINE FARM WANHOOP 435 JU R571 TONGA 0000                                                                                                          ;(010) 824 4076                      ;BABERTON;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                                                   ;WANHOOP 485 JU                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
13441;NKOMATI ANTHRACITE (PTY) LTD                                                  ; UNICORN CAPITAL PARTNERS                                                     ; PO BOX 231 SONPARK   1206                                                                                                                                              ;(013) 753 2985                      ;NKOMAZI;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;STATELAND UNSURVEYED 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ;;;
10053;SPRINGLAKE COLLIERY                                                           ; MYLOTEX (PTY) LTD                                                            ; PO BOX 43 DUNDEE   3000                                                                                                                                                ;(034) 621 6000                      ;GLENCOE;KWA-ZULU NATAL;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";"COAL ANTHRACITE; COAL BITUMINOUS;                                                                                                                                                                                                                                                                                                                                             ";"LENTEPLAAS 0; HATTINGSPRUIT 0                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ";;;
14641;TENDELE COAL MINING (PTY) LTD                                                 ; PETMIN                                                                       ; POSTNET SUITE 208 PRIVATE BAG X013 MTUBATUBA  3935                                                                                                                     ;082 895 1406         086 691 0854   ;HLABISA;KWA-ZULU NATAL;"MINE                                                    OPENCAST; SURFACE                                                                                                                                     ";COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;SOMKELE 15822  3 AREA 2&3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     ;;;
12716;ZULULAND ANTHRACITE COLLIERY                                                  ; RIVERSDALE HOLDINGS (PTY) LTD                                                ; PRIVATE BAG X71 ULUNDI   3838                                                                                                                                          ;(035) 874 7300       (035) 870 0805 ;MAHLABATINI;KWA-ZULU NATAL;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL ANTHRACITE                                                                                                                                                                                                                                                                                                                                                                                                                ;"OKHUKHO RESERVE 0; DISTRICT OF NONGOMA RESERVE 12                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ";;;
15487;IKOTI COAL (PTY) LTD                                                         ; IKOTI COAL (PTY) LTD                                                         ; R517 ROAD KLIPFONTEIN FARM BREYTEN;063 951 1077;ERMELO;MPUMALANGA;MPUMALANGA                                              OPERATING                                         ;COAL BITUMINOUS                                   ;KLIPFONTEIN 241 JS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            ;;;
15023;2 SEAM (PTY) LTD (TNC)                                                        ; 2 SEAM (PTY) LTD                                                             ; PRIVATE BAG X7297 WITBANK   1035                                                                                                                                       ;082 523 7328         086 613 4277   ;KRIEL;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"VLAKLAAGTE BLOCK 3; VLAKLAAGTE 45 JS; LOURENS 472                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ";;;
15681;A RE SHOMENG                                                                  ; J MASEKWAMENG                                                                ; 2 ROBIN CLOSE INFINITY OFFICE PARK BLOCK G GROUND FLOOR MEYERSDAL 1448                                                                                                 ;(011) 433 1471                      ;CAROLINA;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"KROMKRANS 208 IS 35 60 RE 1; KROGSHOOP 213 IS; WITBANK 209 IS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ";;;
14812;AEMFC                                                                         ; AFRICAN EXPLORATION MINING & FINANCE CORPORATION                             ; PO BOX 712 OGIES   2230                                                                                                                                                ;(010) 010 6100                      ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;VLAKFONTEIN 569 JR 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
14753;ANGLO INYOSI COAL - ZIBULO COLLIERY                                           ; ANGLO INYOSI COAL (PTY) LTD                                                  ; PRIVATE BAG X7275 WITBANK   1035                                                                                                                                       ;(013) 643 4400       (013) 643 4451 ;WITBANK;MPUMALANGA;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"ZONDAGSFONTEIN 253 IR; RIETVLEI 64 IS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ";;;
10013;ARNOT OPCO COLLIERY                                                           ; ARNOT OPCO                                                                   ; PRIVATE BAG X3 RIETKUIL   1097                                                                                                                                         ;(013) 297 8196       010 009 5476   ;MIDDELBURG MP;MPUMALANGA;"MINE                                                    OPENCAST; UNDERGROUND                                                                                                                                 ";COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BLESBOKFONTEIN 487 JS; BLESBOKLAAGTE 488 JS; BOSMANSSPRUIT 459 JS; BRAAMSPRUIT 465 JS; GROOTLAAGTE 449 JS; KLIPPAN 452 JS; KOPERMIJN 491 JS; KROMDRAAI 486 JS; KWAGGAFONTEIN 460 JS; LEEUPAN 494 JS; MOOIFONTEIN 448 JS; NOOITGEDACHT 493 JS; RIETKUIL 491 JS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ";;;
11272;ARTHUR TAYLOR COLLIERY - (ATC)                                                ; GLENCORE OPERATIONS SA                                                       ; PRIVATE BAG X7265 WITBANK   1035                                                                                                                                       ;(013) 687 8384       (013) 690 5131 ;WITBANK;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;BLESBOKFONTEIN 31 IS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ;;;
12659;ARTHUR TAYLOR OPENCAST MINE - (ATCOM)                                         ; GLENCORE OPERATIONS SA                                                       ; PRIVATE BAG X7265 WITBANK   1035                                                                                                                                       ;(013) 687 8235       (013) 690 5761 ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;KROMFONTEIN 30 IS 3                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           ;;;
15499;B & M DRIEHOEK COLLIERY                                                       ; BOWWOOD AND MAIN NO 1 (PTY) LTD                                              ; 51 BRECHER STREET CLYDESDALE PRETORIA  0002                                                                                                                            ;(012) 751 2134       086 658 5346   ;ERMELO;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;DRIEHOEK 273 IS OF PTN 8                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      ;;;
14612;BANKFONTEIN COLLIERY                                                          ; JOE SINGH GROUP (PTY) LTD                                                    ; PO BOX 22928 MIDDELBURG   1050                                                                                                                                         ;(013) 282 5742       (013) 282 5761 ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;BANKFONTEIN 375 JS 48                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         ;;;
15472;BELFAST COAL MINE                                                             ; EXXARO COAL MPUMALANGA (PTY) LTD                                             ; PO BOX 9229 PRETORIA   0001                                                                                                                                            ;(012) 307 5000                      ;BELFAST;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"LEEUWBANK 427 JS PTNS; BLYVOORUITZICHT 383 JT; ZOEKOP 426 JS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  ";;;
15539;BERYL COLLIERY                                                                ; BERYL COAL (PTY) LTD                                                         ; 2 MAUDE STREET THE FORUM BUILDING 7TH FLOOR NELSON MANDELA SQUARE SANDTON 2196                                                                                         ;071 039 3892                        ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;OOGIESFONTEIN 4 IS VARIOUS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    ;;;
13046;BLACK WATTLE COLLIERY (PTY) LTD                                               ; BISCHI MINING EXPLORATION LTD                                                ; PO BOX 1704 MIDDELBURG   1050                                                                                                                                          ;(013) 246 9013       086 628 6296   ;MIDDELBURG MP;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;MIDDELBURG TOWNLANDS 0 JS REM                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 ;;;
15693;BOCHMANSPOORT COLLIERY                                                        ; HLELO MINING (PTY) LTD                                                       ; PO BOX 205 HENDRINA   1095                                                                                                                                             ;076 394 9907                        ;MIDDELBURG MP;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                                 ;BOSHMANSPOORT 159 IS PTN OF 31                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
15846;BOLDMAN COLLIERY                                                              ; BOLDMAN MINING ENTERPRISE                                                    ; 22 BEECH STR JOHANNESBURG   2194                                                                                                                                       ;079 942 7177                        ;WITBANK;MPUMALANGA;MINE                                                    OPENCAST                                                                                                                                              ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                              ;BOSCHMANSFONTEIN 2 IS OF PTN 1                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                ;;;
11596;BOSJESSPRUIT MINE                                                             ; SASOL MINING (PTY) LTD                                                       ; PRIVATE BAG X1015 SECUNDA   2302                                                                                                                                       ;(017) 614 3179       (011) 522 5479 ;HIGHVELD RIDGE;MPUMALANGA;MINE                                                    UNDERGROUND                                                                                                                                           ;COAL BITUMINOUS                                                                                                                                                                                                                                                                                                                                                                                                                ;"BOSJESSPRUIT 291 IS SUB 32; GENADESFONTEIN 334 IS                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             ";;;
